번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,095570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",794
2,006840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,794
3,027410,BGF,116409,기타 금융업,"95,716,791","95,716,791,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,794
4,282330,BGF리테일,074701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥,794
5,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,794
6,001460,BYC,031401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,794
7,001040,CJ,116409,기타 금융업,"29,176,998","179,047,370,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",794
8,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","35,100,000","17,550,000,000","500",원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,794
9,000120,CJ대한통운,084903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,794
10,011150,CJ씨푸드,031007,기타 식품 제조업,"35,930,773","18,065,386,500","500",원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),794
11,097950,CJ제일제당,031007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,794
12,000590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),794
13,012030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500","500",원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,794
14,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,794
15,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000","500",원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,794
16,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,경기도 부천시 수도로 90 (주)DB하이텍,794
17,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),0537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,794
18,004840,DRB동일,116409,기타 금융업,"19,930,000","9,965,000,000","500",원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,794
19,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000","500",원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,794
20,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000","500",원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,794
21,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,서울특별시 용산구 한강대로 92 LS용산타워,794
22,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000","500",원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",794
23,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000","500",원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,794
24,078930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 ,794
25,006360,GS건설,064101,건물 건설업,"80,097,804","400,489,020,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,794
26,001250,GS글로벌,074608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW),02-2005-5300,서울특별시 강남구 논현로 508 GS강남타워 ,794
27,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,794
